Subscriber Number,Zone,Meter type,Apr.23,Mai.23,Jun.23,Jul.23,Aug.23,Sep.23,Okt.23,Nov.23,Dez.23,Jan.24,Feb.24,Mär.24,Apr.24
22’933,1’035,Polish,10,10,10,10,10,10,10,10,10,10,10,10,5
22’955,1’135,Polish,20,20,20,20,30,30,30,30,20,20,20,30,30
23’005,1’135,Polish,50,60,60,60,60,60,0,0,60,40,20,20,60
23’006,1’135,Polish,30,40,40,30,30,30,30,0,5,30,25,25,30
23’007,1’135,Polish,30,0,0,30,20,30,20,25,25,0,20,20,15
23’041,1’135,Polish,30,30,30,30,30,30,30,30,30,0,30,30,30
23’046,1’135,Polish,0,0,0,0,0,0,0,0,0,0,30,30,30
23’047,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
23’048,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
23’059,1’135,Polish,30,30,30,30,30,30,30,30,20,20,25,25,30
23’063,1’135,Polish,30,30,30,30,30,0,30,0,30,15,15,20,30
23’066,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
23’072,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
23’094,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
23’121,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
23’142,1’135,Polish,15,5,5,5,5,15,5,5,5,5,5,5,6
23’147,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
23’189,1’134,Polish,10,10,10,10,10,15,15,15,15,15,15,15,15
23’195,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
23’197,1’134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
23’200,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,25
23’201,1’134,Polish,14,10,10,10,10,10,10,15,15,15,15,15,15
23’217,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
23’223,1’135,Polish,30,50,50,0,0,0,0,0,0,0,30,30,30
23’233,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
23’234,1’134,Polish,10,10,10,10,10,10,10,15,15,15,24,24,24
23’241,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
23’245,1’135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
23’250,1’135,Polish,15,5,5,5,5,5,5,5,5,5,5,5,10
23’265,1’035,Polish,10,18,18,13,10,5,10,0,10,30,30,20,5
23’278,1’035,Polish,18,25,25,25,20,18,10,10,10,10,10,10,5
23’286,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
23’326,1’135,Polish,20,20,20,30,16,14,20,20,20,15,15,15,15
23’330,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,0,0
23’350,1’035,Polish,10,12,12,10,20,12,10,11,10,10,10,10,20
23’351,1’035,factories,15,20,20,15,8,8,10,11,10,10,10,10,5
23’359,1’135,Polish,80,60,60,80,80,80,80,60,50,50,60,60,60
23’361,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
23’365,1’035,Polish,0,0,0,0,0,20,10,20,0,20,20,20,20
23’369,1’035,Polish,20,20,20,10,15,10,10,10,0,0,10,10,5
23’373,1’135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,45
23’375,1’035,Polish,0,0,0,0,0,0,10,10,10,10,10,10,5
23’393,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
23’394,1’135,Polish,,,,,,,,,,,,,
23’402,1’035,Polish,4,5,5,8,2,12,10,14,10,10,10,10,0
23’405,1’134,Polish,10,10,10,10,10,10,10,15,20,20,20,20,20
23’435,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
23’442,1’034,Polish,5,5,5,5,5,5,5,5,5,5,5,50,30
23’451,1’135,Polish,0,0,0,0,0,0,0,0,0,0,40,20,40
23’452,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’003,1’135,Polish,60,60,60,60,60,60,60,60,60,60,60,60,60
24’006,1’135,Polish,30,30,30,30,30,30,0,0,5,5,30,30,30
24’012,1’135,Polish,30,30,30,30,30,30,30,30,15,25,30,30,30
24’018,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
24’019,1’135,Polish,30,30,30,30,30,30,30,30,5,25,30,25,25
24’044,1’135,Polish,50,50,50,20,13,12,16,10,8,20,20,5,15
24’046,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
24’068,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’100,1’134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
24’111,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’117,1’035,Polish,1,1,1,2,2,1,10,12,1,10,0,2,0
24’125,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
24’143,1’134,Polish,4,10,10,10,10,10,10,15,15,15,15,15,15
24’146,1’035,Polish,,,,,,,,,,,,,
24’157,1’135,Polish,30,20,20,30,30,30,30,30,30,30,30,30,30
24’163,1’135,Polish,40,40,40,40,40,40,40,40,20,40,40,40,40
24’169,1’035,Polish,10,12,12,10,10,12,10,28,10,10,30,25,5
24’181,1’135,Polish,0,0,0,0,0,0,0,0,0,0,5,5,6
24’182,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’183,1’035,Polish,10,10,10,8,10,10,10,13,10,10,10,5,5
24’185,1’035,Polish,12,20,20,15,15,15,10,12,10,10,10,5,5
24’195,1’135,Polish,30,30,30,30,30,30,30,0,30,5,25,30,30
24’215,1’035,Polish,0,12,12,20,15,30,10,10,11,10,10,0,5
24’227,1’035,Polish,10,12,12,20,24,30,10,12,10,10,10,15,5
24’228,1’035,Polish,,,,,,,,,,,,,
24’247,1’035,Polish,12,12,12,10,12,18,10,14,10,10,5,5,5
24’265,1’035,Polish,20,21,21,25,20,18,10,20,0,20,20,20,20
24’275,1’035,Polish,30,30,30,31,33,30,10,27,10,10,10,15,10
24’276,1’035,Polish,28,20,20,15,15,20,10,0,10,10,13,15,5
24’291,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
24’301,1’135,Polish,20,20,20,20,20,20,40,40,40,40,40,40,40
24’306,1’034,Polish,22,22,22,22,22,22,3,3,3,4,5,5,5
24’320,1’234,Polish,15,15,15,15,15,15,15,15,15,15,15,15,15
24’321,1’234,Polish,55,55,55,55,55,55,60,60,60,60,60,60,40
24’355,1’135,Polish,20,20,20,30,30,20,30,20,20,20,20,20,25
24’370,1’035,Polish,10,10,10,10,12,10,10,10,10,30,30,20,5
24’376,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’379,1’135,Polish,30,30,30,30,30,30,30,30,5,5,5,30,25
24’388,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’406,1’135,Polish,50,40,40,60,60,50,30,30,30,40,40,40,40
24’408,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,19
24’416,1’035,Polish,20,20,20,30,0,27,10,11,9,11,11,14,5
24’417,1’035,Polish,10,8,8,8,10,10,10,11,10,10,10,10,5
24’430,1’135,Polish,60,60,60,60,60,60,60,60,60,60,60,60,60
24’440,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’449,1’035,Polish,110,70,70,70,70,35,10,29,10,10,10,20,5
24’461,1’035,Polish,20,12,12,10,15,15,10,0,10,11,15,20,5
24’463,1’135,Polish,20,20,20,20,20,20,30,30,30,5,25,30,30
24’468,1’035,Polish,2,4,4,2,4,10,10,12,10,0,10,10,0
24’482,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
24’499,1’135,Polish,20,30,30,30,30,30,30,30,30,30,25,25,30
24’519,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
24’520,1’034,Polish,20,20,20,6,5,5,5,5,5,10,10,10,15
24’521,1’035,Polish,,,,,,,,,,,,,
24’527,1’135,Polish,30,30,30,30,30,30,30,0,5,25,25,25,30
24’550,1’135,Polish,15,20,20,30,20,20,20,0,20,5,15,20,15
24’551,1’035,Polish,18,15,15,20,15,20,10,21,10,10,10,15,15
24’555,1’135,factories,5,5,5,5,5,5,5,5,5,5,5,5,10
24’569,1’131,Polish,2,2,2,5,10,20,0,0,0,0,5,5,0
24’574,1’035,Polish,10,15,15,10,8,10,10,13,10,10,10,10,5
24’584,1’134,Polish,20,10,10,10,10,10,20,20,20,20,20,20,20
24’598,1’134,Polish,20,10,10,10,10,10,10,10,10,10,10,10,10
24’603,1’046,Polish,20,15,15,15,15,15,20,20,20,20,20,20,15
24’610,1’046,Polish,25,10,10,15,15,9,10,10,10,10,0,1,4
24’628,1’034,Polish,10,10,10,10,10,10,10,10,10,15,15,15,10
24’631,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’637,1’035,Polish,20,20,20,20,20,25,10,28,10,10,10,20,10
24’646,1’135,Polish,0,30,30,30,30,30,30,0,0,0,30,30,30
24’648,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’651,1’035,Polish,30,20,20,20,30,15,10,30,10,10,10,5,5
24’658,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
24’669,1’035,Polish,4,1,1,12,12,15,10,10,10,10,30,30,30
24’675,1’035,Polish,0,0,0,0,0,0,10,12,10,10,10,10,5
24’678,1’134,Polish,15,10,10,10,15,15,15,15,15,15,15,15,15
24’679,1’035,Polish,8,12,12,10,15,12,10,0,10,10,10,6,5
24’681,1’134,Polish,5,10,10,10,10,10,10,10,10,10,10,10,10
24’684,1’034,Polish,10,10,10,10,10,10,10,10,10,10,9,9,1
24’685,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,15
24’687,1’035,Polish,10,15,15,12,12,20,10,10,10,10,10,10,0
24’688,1’035,Polish,20,20,20,15,10,20,10,10,20,10,10,15,5
24’690,1’034,Polish,27,20,20,20,20,20,20,20,20,20,20,20,8
24’694,1’035,Polish,25,30,30,25,25,15,10,10,10,10,15,15,5
24’695,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’699,1’035,Polish,12,15,15,15,15,12,10,12,20,10,10,10,5
24’702,1’035,Polish,20,15,15,20,20,15,10,10,10,10,10,15,5
24’703,1’035,Polish,20,20,20,20,20,15,10,10,10,10,10,15,5
24’705,1’034,Polish,30,30,30,0,0,0,5,5,5,10,10,10,20
24’707,1’046,Polish,20,15,15,20,15,20,15,20,20,20,20,15,12
24’708,1’035,Polish,12,12,12,10,10,12,10,10,10,10,10,10,5
24’710,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’711,1’234,Polish,30,30,30,30,30,30,30,30,30,30,30,30,20
24’712,1’135,Polish,0,0,0,0,0,0,0,0,0,0,30,30,30
24’727,1’035,Polish,10,15,15,12,12,12,10,24,10,10,10,12,3
24’728,1’035,Polish,27,18,18,18,18,18,10,30,10,10,10,15,5
24’729,1’134,Polish,5,10,10,10,10,10,10,25,25,25,25,25,25
24’757,1’135,Polish,50,50,50,100,100,100,0,0,0,50,80,80,80
24’758,1’034,Polish,5,5,5,5,6,6,4,4,4,4,5,20,20
24’759,1’035,Polish,12,20,20,12,15,20,10,10,15,5,5,5,5
24’766,1’035,Polish,8,12,12,8,5,4,10,14,10,10,10,20,5
24’796,1’035,Polish,8,42,42,10,12,12,10,20,0,20,20,20,20
24’798,1’135,Polish,0,0,0,0,0,0,0,0,5,5,5,5,6
24’802,1’135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
24’803,1’135,Polish,0,0,0,0,0,0,0,0,5,5,5,5,30
24’807,1’035,Polish,13,10,10,12,15,12,10,14,10,10,0,10,0
24’810,1’034,Polish,10,10,10,10,10,10,11,11,11,11,20,20,15
24’816,1’135,Polish,30,30,30,30,30,20,30,0,5,15,15,15,30
24’825,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’826,1’134,Polish,10,10,10,15,15,15,15,15,15,15,15,15,15
24’827,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’828,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’829,1’134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
24’830,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’831,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’832,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’836,1’135,Polish,90,50,50,40,60,80,0,40,40,40,50,50,80
24’842,1’134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
24’843,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
24’853,1’135,Polish,,,,,,,,,,,,,
24’855,1’035,Polish,10,10,10,8,10,10,10,22,10,10,10,15,5
24’856,1’035,Polish,10,12,12,10,10,12,10,0,7,10,10,5,5
24’858,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’860,1’134,Polish,16,10,10,20,10,10,10,20,20,20,20,20,20
24’862,1’035,Polish,12,20,20,20,15,15,10,10,10,10,10,10,20
24’865,1’035,Polish,28,28,28,30,28,30,10,18,10,10,10,15,5
24’874,1’034,Polish,50,50,50,50,50,50,30,30,30,30,30,30,25
24’875,1’135,Polish,20,5,5,5,5,5,15,30,30,20,20,20,20
24’883,1’135,Polish,80,80,80,80,80,80,80,80,80,80,80,80,80
24’888,1’135,Polish,80,0,0,0,0,0,0,0,0,0,90,90,90
24’889,1’031,Polish,10,10,10,1,11,0,10,12,12,10,4,5,5
24’913,1’135,Polish,0,30,30,0,0,0,0,0,0,0,30,30,30
24’916,1’134,Polish,25,10,10,20,20,20,20,20,20,20,20,20,20
24’921,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
24’923,1’035,Polish,9,8,8,15,11,12,10,11,10,10,30,30,5
24’924,1’234,Polish,30,30,30,20,20,20,20,20,20,20,20,20,15
24’926,1’134,Polish,10,10,10,10,10,10,10,0,0,0,0,0,0
24’929,1’135,Polish,0,260,260,0,40,30,30,0,20,0,20,30,30
24’937,1’134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
24’944,1’134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
24’948,1’134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
24’949,1’134,Polish,16,10,10,10,10,15,15,15,15,15,15,15,15
24’952,1’035,Polish,20,20,20,20,20,20,10,14,10,10,10,15,20
24’990,1’034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,15
27’001,1’034,Polish,30,30,30,30,30,30,30,30,30,30,30,30,10
27’007,1’134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
27’028,1’035,Polish,10,10,10,10,11,10,10,13,20,10,5,5,1
27’057,1’135,Polish,0,0,0,0,0,0,0,0,0,0,25,25,30
27’084,1’134,Polish,20,10,10,30,30,30,30,30,30,30,30,30,30
27’104,1’134,Polish,5,10,10,10,10,10,10,10,10,10,10,10,10
27’109,1’135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
27’123,1’134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
27’124,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
27’127,1’135,Polish,30,30,30,30,30,30,30,30,30,30,30,25,25
27’132,1’036,Polish,24,20,20,10,20,20,16,19,20,15,20,20,15
27’137,1’134,Polish,1,10,10,10,10,10,10,10,10,10,10,10,10
27’145,1’035,Polish,10,10,10,10,8,12,10,13,10,10,10,10,0
27’151,1’035,Polish,28,27,27,30,28,28,10,14,10,10,10,15,25
27’167,1’035,Polish,0,0,0,0,10,10,10,10,5,10,10,10,5
27’196,1’134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
27’197,1’135,Polish,0,30,30,30,30,30,30,0,20,0,30,30,30
27’292,1’135,Polish,30,20,20,30,30,20,20,20,20,0,70,70,80
27’315,1’035,Polish,20,25,25,20,15,20,10,22,10,10,10,5,5
27’353,1’135,Polish,13,13,13,18,25,28,18,20,20,20,20,20,20
27’425,1’234,Polish,1,1,1,1,1,1,1,1,1,1,1,1,21
27’501,1’134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
27’558,1’134,Polish,15,10,10,10,10,10,15,15,15,15,15,15,15
27’594,1’135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
27’642,1’035,Polish,12,15,15,18,8,10,10,13,10,10,10,10,5
27’653,1’034,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1
27’698,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
27’726,1’134,Polish,15,10,10,15,15,15,15,15,15,15,15,15,15
27’858,1’035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
27877,1034,Polish,20,20,20,20,20,20,20,20,20,20,25,25,10
27911,1134,Polish,15,10,10,15,15,15,15,15,15,15,15,15,15
27912,1134,Polish,10,10,10,15,15,15,15,15,15,15,15,15,15
27947,1035,Polish,10,10,10,10,8,8,10,12,10,10,10,10,5
27976,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29016,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,50
29033,1035,Polish,0,0,0,0,0,0,10,10,10,10,10,10,0
29051,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
29054,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29072,1035,Polish,10,12,12,12,10,12,10,0,10,10,20,20,20
29085,1035,Polish,15,12,12,10,10,10,10,12,1,10,30,20,4
29091,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
29092,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
29’093,1’035,Polish,12,12,12,0,0,15,10,12,10,10,10,5,5
29100,1046,Polish,10,10,10,15,15,15,15,15,15,15,5,5,10
29112,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
29120,1135,Polish,0,0,0,0,0,0,0,0,0,0,47,100,120
29121,1035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29131,1135,Polish,30,30,30,30,30,30,30,30,30,30,25,25,30
29136,1035,Polish,33,30,30,35,30,45,10,0,10,10,10,15,5
29178,1035,Polish,10,15,15,15,10,15,10,13,10,10,10,5,0
29179,1135,Polish,12,15,15,21,14,30,30,20,30,20,30,30,30
29180,1135,Polish,30,30,30,30,30,30,30,0,5,15,20,20,30
29209,1134,Polish,15,10,10,15,10,10,10,15,15,15,15,15,15
29218,1033,Polish,20,20,20,50,50,50,50,50,50,50,50,50,15
29219,1135,Polish,20,20,20,28,30,22,30,30,30,30,30,30,25
29224,1034,Polish,20,20,20,20,20,20,10,85,85,10,10,10,10
29226,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
29229,1135,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
29292,1135,Polish,30,30,30,30,30,30,30,30,20,25,25,30,30
29334,1135,Polish,50,50,50,50,0,50,50,0,0,0,5,45,40
29357,1134,Polish,30,10,10,20,20,20,20,25,30,30,30,30,30
29358,1134,Polish,35,10,10,10,10,10,10,15,15,15,15,15,15
29363,1135,Polish,30,30,30,30,30,30,30,30,30,30,30,30,30
29364,1034,Polish,24,14,14,14,14,14,14,14,14,14,14,14,10
29412,1035,Polish,15,15,15,12,10,15,10,26,10,10,10,10,5
29429,1035,Polish,15,12,12,15,12,10,10,10,10,10,10,10,5
29434,1035,Polish,10,8,8,8,10,6,10,30,10,10,10,22,5
29456,1135,Polish,20,0,0,0,0,0,0,0,0,0,0,0,0
29467,1035,Polish,10,10,10,3,5,5,10,10,10,10,10,15,5
29470,1046,Polish,0,10,10,0,0,0,0,0,0,0,0,0,0
29472,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29485,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
29495,1046,Polish,25,15,15,25,20,30,20,20,20,20,20,20,20
29503,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
29509,1046,Polish,50,30,30,50,40,50,50,50,20,20,40,40,20
29539,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
29548,1035,Polish,20,18,18,15,18,10,10,13,10,10,10,15,5
29552,1135,Polish,0,30,30,0,30,0,30,0,5,5,30,30,30
29553,1134,Polish,10,10,10,10,10,10,10,15,15,15,15,15,15
29569,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
29577,1134,Polish,9,10,10,10,10,10,10,15,15,15,15,15,15
29581,1046,Polish,30,15,15,30,15,20,20,20,25,25,12,15,20
29590,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
29591,1135,Polish,30,30,30,30,0,0,0,0,0,0,30,30,30
29597,1035,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29618,1135,Polish,20,20,20,20,20,20,20,20,20,5,5,5,6
29634,1135,Polish,0,0,0,0,0,0,30,0,0,30,15,25,30
29636,1135,Polish,20,20,20,20,20,20,20,5,5,20,20,20,15
29668,1035,Polish,20,6,6,2,0,0,10,10,15,10,10,10,5
29682,1134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
29690,1035,Polish,10,15,15,15,15,15,10,13,10,10,30,30,10
29697,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
29701,1135,Polish,0,0,0,50,0,0,0,0,0,0,50,50,45
29714,1035,Polish,1,0,0,1,1,1,10,11,10,10,10,20,5
29732,1135,Polish,50,50,50,50,50,50,0,0,0,0,50,50,60
29734,1134,Polish,15,10,10,10,10,10,10,10,10,10,10,10,10
29735,1035,Polish,20,20,20,10,0,0,10,11,10,10,10,15,15
29740,1035,Polish,15,15,15,15,20,20,10,14,10,10,10,15,5
29750,1035,Polish,,,,,,,,,,,,,
29756,1134,Polish,5,10,10,10,10,0,0,0,0,0,1,1,1
29783,1135,Polish,5,5,5,5,15,30,30,20,20,20,20,20,20
29810,1135,Polish,5,5,5,5,0,0,5,0,5,5,5,0,0
29833,1035,Polish,2,2,2,1,3,2,10,10,10,10,10,15,5
29871,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
29874,1134,Polish,1,10,10,10,10,10,10,15,15,15,15,15,15
29880,1135,Polish,9,12,12,3,13,12,16,14,13,16,11,12,8
29918,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
29929,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
29932,1234,Polish,30,30,30,30,30,30,15,30,30,30,30,20,15
29960,1234,Polish,25,25,25,25,25,25,25,25,25,25,25,25,20
29963,1134,Polish,42,10,10,10,10,10,30,49,50,50,50,20,20
29966,1034,Polish,30,30,30,30,30,30,30,30,30,30,20,20,20
29984,1134,Polish,5,10,10,5,5,5,5,5,5,5,5,5,5
30004,1234,Polish,30,30,30,30,30,10,10,25,25,25,25,25,20
30034,1234,Polish,20,20,20,20,20,20,10,10,10,20,20,20,15
30060,1035,Polish,15,15,15,15,12,12,10,8,10,10,10,15,5
30’093,1’035,Polish,8,10,10,7,10,10,10,12,10,10,10,15,5
30102,1035,Polish,12,10,10,10,12,12,10,11,10,10,10,20,5
30110,1035,Polish,10,15,15,10,13,10,10,13,10,10,10,15,5
30111,1034,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
30115,1135,Polish,40,50,50,60,60,60,40,40,40,50,50,50,40
30116,1234,Polish,1,1,1,1,1,1,1,1,1,30,30,30,20
30121,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
30130,1134,Polish,10,10,10,10,10,20,20,20,20,20,20,20,20
30131,1035,Polish,10,12,12,4,10,20,20,20,20,20,20,20,20
30132,1135,Polish,30,30,30,30,30,30,30,30,20,20,30,30,30
30138,1035,Polish,5,3,3,1,2,2,10,14,10,10,10,15,5
30156,1135,Polish,40,40,40,40,40,40,40,40,40,40,40,40,40
30207,1034,Polish,30,30,30,30,30,30,30,30,30,30,30,30,10
30215,1035,Polish,28,27,27,30,30,30,10,30,8,10,10,15,10
30221,1035,Polish,15,20,20,15,15,25,10,23,10,10,10,20,5
30224,1034,Polish,20,20,20,20,20,20,20,20,20,20,20,20,9
30227,1134,Polish,20,10,10,10,10,10,10,20,20,20,20,20,20
30269,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
30272,1035,Polish,18,15,15,18,18,18,10,0,10,10,10,13,5
30273,1035,Polish,12,18,18,12,18,15,10,0,8,10,10,15,5
30291,1135,Polish,40,20,20,20,20,30,40,40,30,30,25,25,40
30302,1035,Polish,1,4,4,3,3,18,10,12,10,10,10,10,0
30314,1046,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
30315,1046,Polish,20,12,12,20,10,20,20,20,20,20,15,5,15
30316,1134,Polish,12,10,10,10,10,10,10,15,15,15,15,15,15
30317,1134,Polish,15,10,10,10,10,10,10,15,15,15,15,15,15
30321,1234,Polish,50,50,50,50,50,50,60,60,60,50,50,50,30
30330,1135,Polish,15,20,20,18,30,22,30,30,30,30,30,28,27
30331,1035,Polish,1,2,2,3,3,2,10,10,10,10,10,20,5
30338,1134,Polish,26,10,10,20,10,10,20,20,20,20,20,20,20
30361,1134,Polish,10,10,10,20,20,10,20,20,20,20,20,20,20
30365,1046,Polish,0,12,12,15,15,15,20,20,20,20,20,20,15
30366,1135,Polish,10,5,5,15,25,20,15,15,20,20,20,20,15
30371,1035,Polish,0,0,0,0,0,0,10,10,10,10,10,9,6
30379,1234,Polish,55,30,30,30,30,30,30,30,30,30,30,30,20
30396,1034,Polish,20,20,20,20,20,20,20,20,20,30,30,30,20
30401,1035,Polish,28,27,27,30,30,0,10,28,10,10,10,15,5
30417,1035,Polish,27,20,20,24,15,27,10,11,10,10,10,10,5
30418,1135,Polish,5,5,5,5,5,5,5,5,5,5,5,5,6
30441,1035,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
30452,1135,Polish,70,70,70,70,70,80,80,50,50,50,50,50,80
30480,1134,Polish,10,10,10,10,10,10,10,10,10,10,10,10,10
30501,1046,Polish,20,15,15,20,15,20,20,15,20,20,20,15,15
30524,1034,Polish,20,20,20,20,20,20,20,20,20,20,11,20,1
30545,1134,Polish,10,10,10,10,10,10,10,0,0,0,0,0,0
30572,1035,Polish,15,15,15,15,18,15,10,10,10,10,10,10,0
30574,1134,Polish,10,10,10,0,0,0,0,0,0,0,0,0,0
30575,1134,Polish,10,10,10,0,10,10,10,30,30,30,30,30,30
30583,1135,Polish,20,20,20,20,20,20,20,20,20,20,20,20,20
30600,1035,Polish,12,15,15,12,12,12,10,28,10,10,10,15,5
30606,1035,Polish,15,20,20,20,15,15,10,12,10,10,10,10,10
30621,1035,Polish,12,15,15,15,15,25,10,21,10,10,10,10,5
30635,1035,Polish,10,10,10,10,12,12,10,14,10,10,10,20,5
30650,1035,Polish,10,20,20,20,25,15,10,10,10,10,10,10,5
30655,1035,Polish,15,15,15,20,20,12,10,11,15,10,30,30,20
30673,1234,Polish,1,1,1,1,1,1,1,1,1,1,1,1,1
30674,1046,Polish,0,0,0,0,0,0,0,0,0,0,0,0,0
30692,1035,Polish,18,15,15,18,15,25,10,13,10,10,10,30,25
30704,1035,Polish,20,18,18,25,20,10,10,10,10,10,10,20,5
30705,1035,Polish,15,15,15,15,15,20,10,12,10,10,10,10,5
30707,1035,Polish,15,20,20,20,15,20,10,26,10,10,10,10,5
30708,1134,Polish,10,10,10,10,15,15,15,15,15,15,15,15,15
30717,1035,Polish,4,0,0,1,0,15,10,12,10,10,19,19,2
30734,1035,Polish,12,20,20,10,12,15,10,0,10,10,10,2,5
30802,1135,Polish,30,30,30,30,30,30,30,30,30,30,25,25,30
30810,1135,Polish,10,12,12,3,5,25,29,9,12,15,5,6,9
30852,1035,Polish,15,25,25,15,20,25,10,11,10,10,10,0,5
30862,1134,Polish,20,10,10,10,10,10,10,15,15,15,15,15,15
